,PER,LOC,ORG,DAT
220, ایرج افشار دکتر مصدق, کوهستان الوند استان همدان شهرستان ملایر شهرستان نهاوند شهرستان تویسرکان, مرکز ایران, سال ۱۹۱۹ میلادی
221, برتراند راسل آنتوان دو سنت اگزوپری, ملایر شهرستان نهاوند شهرستان تویسرکان, علم و ادب, در سال ۱۲۹۳
222, محمد بن بابویه شیخ صدوق, شهرستان ملایر, دانشگاه تنسی, سال مدت ۲ سال
223, شیخ صدوق, بروجرد پهله سرزمین ماد, دانشنامه علائی, چهارده ماه
224, هادی تجویدی, تویسرکان همدان ملایر کنگاور استان لرستان, دانشنامه علایی, در سال ۱۳۰۲ در دوره پنجم و ششم
225, توماس ادیسون, اراک, پژوهشگاه ابن‌سینا, تا سال ۱۳۱۹
226, نیکلا تسلا, کرمانشاه, سازمان یونسکو, در سال ۱۳۲۰ سه سال
227, سیبویه, شهرستان نهاوند ملایر اراک اصفهان کرمانشاه, فرقه فرانسیسکن, پس از شهریور ۲۰ دوره ۱۴
228, فردینان دو سوسور, اراک ملایر, مرکز خرید, دوره ۱۵
229, نوام چامسکی, دهستان سفلی, دانشکده ادبیات و علوم انسانی دانشگاه تهران, انتخابات دوره
230, تالکین, استان همدان, دانشگاه شیراز, سال ۱۹۳۳
231, آریستارخوس, حمام حاج آقا تراب شهرستان نهاوند, دانشگاه تهران پژوهشگاه علوم انسانی و مطالعات فرهنگی دانشگاه شیراز دانشگاه گیلان دانشگاه کردستان دانشگاه شهید باهنر کرمان دانشگاه آزاد اسلامی واحد رشت, ۱۳۸۷ فصل ۱۴
232, کپرنیک, موزه مردم‌شناسی, دانشگاه آزاد اسلامی تهران مرکزی دانشگاه آزاد اسلامی واحد علوم و تحقیقات تهران دانشگاه آزاد اسلامی واحد علوم و تحقیقات فارس دانشگاه آزاد اسلامی واحد تاکستان دانشگاه آزاد اسلامی واحد رشت دانشگاه آزاد اسلامی واحد خوراسگان دانشگاه آزاد اسلامی واحد اهر, در سال ۱۳۲۹
