,PER,LOC,ORG,DAT
3735, مهدی بازرگان یزدی علی‌اکبر معین‌فر مصطفی چمران یدالله سحابی محمدعلی رجایی عزت‌الله سحابی حسن حبیبی هاشم صباغیان, غرب آفریقا مراکش صحرای غربی, تامین اجتماعی مجلس شورای اسلامی, ۲۶ آوریل
3736, اعظم طالقانی, گرانادا, حکومت اسلامی حکومت اسلامی, ۲۳ می
3737, فخرالدین حجازی محمدعلی هادی حسن حبیبی عزت‌الله سحابی کاظم سامی علی گلزاده غفوری, سوئیس انگلیس, مدرسه رازی, ۱۴ اکتبر
3738, علی گلزاده غفوری, کوپا کوپا, دارتموث کالج, ۹ مارس
3739, مسعود رجوی, پادشاهی اسپانیا, FDA, ۲۷ اوت
3740, احمد مدنی خسرو قشقایی کریم سنجابی علی اردلان ابوالفضل قاسمی, سانتاندر, کانال دیزنی, ۲۸ اوت
3741, کاظم سامی, جوانان, جام جم شبکه تهران, ۱۶ ژانویه
3742, نورالدین کیانوری احسان طبری محمدعلی عمویی منوچهر بهزادی مریم فیروز محمد پورهرمزان سیاوش کسرایی, بارسا, چهره ماندگار, ۶ آوریل
3743, حسن حبیبی مسعود رجوی کاظم سامی عزت‌الله سحابی ابوالقاسم سرحدی‌زاده اعظم طالقانی علی گلزاده غفوری پروانه فروهر محمدکاظم موسوی بجنوردی, برزیلی, دانشگاه تهران دانشگاه ویسکانسین, ۲۷ ژوئن
3744, آیت‌الله صافی گلپایگانی, مدرسه بازرگانی, دانشگاه شریف, ۱۴ اوت
3745, محمد امامی کاشانی باهنر سید اکبر پرورش توکلی محمدصادق حائری شیرازی حسنی سیدعلی حسینی خامنه‌ای سیدمحمد خاتمی محمدعلی رجایی حبیب‌الله عسگراولادی حسن غفوری‌فرد عبدالمجید معادیخواه سیدحسین موسوی تبریزی علی‌اکبر ناطق نوری ولایتی, بازی‌های المپیک تابستانی ۱۹۹۲, مرکز تحقیقات فیزیک نظری, ۲۶ اکتبر
3746, خاتمی علی خامنه‌ای چمران احمد توکلی احمد ناطق نوری محمدعلی رجایی محمدجواد باهنر, پالائو, دانشگاه نورث‌وسترن دانشگاه ویسکانسین دانشگاه میشیگان, ۷ دسامبر
3747, میرزا تقی‌خان امیرکبیر ناصرالدین‌شاه قاجار, چشمه‌های آبگرم, آرگون, ۱۱ نوامبر
3748, میرزا تقی‌خان امیرکبیر, رود اسنیک, دانشگاه اسلامی علیگر, درسال ۱۲۴۰ در سال ۱۲۵۵
3749, یاکوب ادوارد پولاک امیرکبیر, اورگن آیداهو یوتا آریزونا, انجمن صنعت ضبط آمریکا گروه موسیقی, در سال ۱۳۱۴ در سال ۱۳۲۸
3750, داوود خان, کارسون‌سیتی لاس‌وگاس, ابی رود استودیوز, در اواخر قرن ۱۵
3751, یاکوب ادوارد پولاک ناصرالدین‌شاه میرزا آقاخان نوری, رینو ، نوادا, سپاه پاسداران انقلاب اسلامی شورای هماهنگی حزب‌الله, در طی سده ۱۶
3752, میرزا یحیی خان, ایالت نوادا کارسون‌سیتی گرم و خشک صحرای موهاوی, سونی کامپیوتر انترتینمنت, در سال ۱۵۸۹
3753, ملکم‌خان محمدحسن خان قاجار, منطقه ۵۱, ارتش روسیه ارتش شوروی, در سال ۱۶۲۳
3754, علی‌قلی مخبرالدوله رضاقلی خان هدایت, ویتنام, سازمان غذا و دارو آمریکا, سال ۱۹۱۶ سه
3755, رضاقلی‌خان هدایت, سد هوور رودخانه کلرادو ایالت نوادا, دیوان حافظ تصحیح خانلری, در سال ۱۹۷۱
3756, محمدحسن‌خان صنیع‌الدوله, نیروگاه برق‌آبی, دیوان حافظ دیوان اشعار, مدت چند ثانیه
3757, مرتضی‌قلی صنیع‌الدوله میرزا جهانگیرخان, سد هوور, دیوان غربی شرقی دیوان حافظ دیوان حافظ دیوان حافظ, ۸ سال
3758, ژوزف تولوزان, کره جنوبی کره جنوبی پاموک کاله, پلیس راهنمایی و رانندگی, ۱۶ سال
3759, اعتضادالسلطنه, ایالت نوادا, تیم فوتبال تیم فوتبال, قرن سیزدهم هجری
3760, ملکم‌خان, ایالت‌های غرب میانه آمریکا, جایزه اسکار بهترین تدوین, در سال ۱۲۵۰ هجری قمری
3761, شاتوبریان, توپکا ویچیتا, انستیتو فیلم آمریکا, در مرداد ۱۳۷۹
3762, لوئی ناپلئون بناپارت, ایالت‌های آمریکا, تیم فوتبال هرتابرلین, از دو دهه در پنجم سپتامبر سال ۱۹۴۶ میلادی
3763, سیامک یاسمی, کانزاس سیتی, جام حذفی آلمان, در سال ۱۹۷۳ روزها
3764, جان رید, ایالت کانزاس دانشکده علوم, تیم فوتبال اینتراخت فرانکفورت تیم فوتبال, در سپتامبر سال
3765, آنتونیو سالیری, دنور, جنبش راستافار جنبش اجتماعی, زمان یک
3766, محمود افشارطوس مهدی‌قلی‌خان مجدالدوله دکتر محمد مصدق, ایالت‌های غرب آمریکا, ارتش آمریکا مدرسه نظامی وست‌پوینت, در سال 1976
3767, محمود افشارطوس, وایومینگ نبراسکا ، کانزاس اکلاهما نیومکزیکو یوتا آریزونا, مدرسه نظامی وست‌پوینت, سال ۱۹۷۶
3768, صفی علیشاه, جمهوری خواهان, حوزه علمیه تهران حکومت اسلامی, در سال ۵۵۱ قبل
3769, حسین خطیبی, رودخانه کلرادو, حوزه علمیه تهران, در سال ۵۵۵ قبل شصت و چهار سال
3770, بقایی, دنور کلرادو اسپرینگز اسپن, تهران قم, سیزده سال شانزده سال
3771, سرلشکر زاهدی مظفر بقایی برادران رشیدیان, الیمپیا سیاتل ، واشینگتن سپوکین, جمعیت انقلابی زنان افغانستان, در سال ۴۷۹
3772, ارتشبد نعمت‌الله نصیری محمدرضا شاه پهلوی, ایالت واشینگتن ایالت آمریکا, پایتخت حوزه علمیه قم مجمع جهانی تقریب مذاهب اسلامی, : اکتبر
3773, ارتشبد نعمت‌الله نصیری, ایالت واشینگتن, مجمع جهانی اهل‌بیت سازمان غیردولتی, تا ۱ میلیون سال
3774, محمد نصیری, سرزمین واشینگتن, مجمع جهانی اهل‌بیت مجمع عمومی, سالهای ۱۹۵۸ و ۱۹۵۲
3775, محمد مصدق محمدرضا شاه پهلوی محمد مصدق, رود کلمبیا, شیعیان, در ماه اوت ۲۰۰۲
3776, مهدی بازرگان آیت‌الله خلخالی, ایالت اورگن, اداره کل مجمع جهانی اهل‌بیت, در ژوئیه ۲۰۱۷
3777, ثریا اسفندیاری مصدق, ایالت آیداهو, اداره کل اداره کل اداره کل, در زمان ۱۴۶۶ میلادی میلادی
3778, دکتر محمد مصدق سرلشکر زاهدی سرلشکر زاهدی مصدق دکتر مصدق, رود اسنیک کلیرواتر اقیانوس آرام, سازمان هنری رسانه‌ای اوج, سال ۱۶۱۸ میلادی
3779, نعمت‌الله نصیری صادق خلخالی گیوی, اقلیم اقیانوسی, بنیاد باران گروه موسیقی, در سال ۱۶۵۷ میلادی
3780, بزرگ ارتشتاران, کوه رینیر سیاتل ، واشینگتن, جمهوری اسلامی اداره کل, در سده ۱۵ و ۱۶ میلادی
3781, علی‌اکبر درخشانی علی‌اکبر درخشانی, کوه سنت هلن ایالت واشینگتن, خراسان ثبت اسناد, در سال ۱۹۲۲ میلادی
3782, احمد مقربی, منطقه زمانی اقیانوس آرام, بانک کشاورزی, در ژوئن ۱۹۴۱
3783, شیخ خزعل رضاشاه محمد مصدق, ایالت واشینگتن کالیفرنیا, حزب دموکرات ایران دیوان عالی کشور, سال ۱۹۷۵
3784, رضاخان میرپنج, ایالت‌های آمریکا اکلاهما سیتی تولسا, وزارت ارشاد تیم پرسپولیس, از ثانیه
3785, خالو قربان, سنتافه ، نیومکزیکو البوکرکی, بنیاد دفاع از دمکراسی‌ها, در اوایل دهه ۱۸۶۰ میلادی
3786, احسان الله خان دوستدار احسان الله خان, ریو گرانده, دانشگاه واشینگتن در سن‌لوئیس, در دهه ۱۸۸۰ میلادی
3787, مرتضی خان, شهر مکزیک قاره آمریکا, مرکز مطالعات استراتژیک دانشگاه جرج‌تاون, تا پایان سده ۱۹ میلادی
3788, شیخ خزعل شیخ خزعل شیخ خزعل, رود ریوگرانده, نیروی هوایی ارتش اسرائیل, در دهه ۱۹۲۰ میلادی دی
3789, سرلشکر زاهدی رزم‌آرا, ایالت نیومکزیکو, جماعت احمدیه, در دهه ۱۹۲۰ میلادی
3790, سرتیپ افشارطوس مظفر بقایی, اسپرینگ‌فیلد شیکاگو, نشان جمهوری اسلامی ایران, تا اواسط دهه ۱۹۶۰ میلادی
3791, آیت‌الله کاشانی رئیس مجلس, آزمایشگاه ملی آرگون, شورای امنیت شورای امنیت سازمان ملل متحد, ۱۹۶۰ و ۱۹۷۰ میلادی
3792, سرهنگ نصیری, کشور آمریکا ایالت‌های نیو انگلند آمریکا, جمهوری اسلامی ایران ملل متحد, در نیمه دوم سده ۲۰ میلادی
3793, اردشیر زاهدی, بوستون امهرست ، ماساچوست, خبرگزاری مهر سازمان ملل متحد شورای امنیت, سده ۲۰ سده ۲۱ میلادی
3794, دکتر علی امینی, رود آیلند نیویورک ورمانت نیوهمپشایر اقیانوس اطلس, سازمان ملل متحد صندوق بین‌المللی پول, دهه ۲۱ میلادی
3795, سپهبد زاهدی, ایالت نیویورک ایالت آمریکا, جمهوری اسلامی ایران صندوق بین‌المللی پول, دو روز وقت
3796, محمدرضا پهلوی اردشیر زاهدی, ایالت نیوجرسی ایالت پنسیلوانیای ایالت ماساچوست ورمانت, ستاد کل نیروهای مسلح ایران, در سال ده هزار
3797, صادق خلخالی, جزیره لانگ آیلند مرز دریایی ایالت رود آیلند, سازمان ملل متحد سازمان ملل متحد, در سال دوم
3798, سرپرسی سایکس, ایالت نیویورک ایالت کبک ایالت انتاریو, بوروکراسی آنارشیسم, سال سوم
3799, محمد ساعد مراغه‌ای پهلوی دوم, کلان‌شهر نیویورک, کانون زبان ایران موسسه دولتی کانون پرورش فکری کودکان و نوجوانان زبانهای خارجی, در اواخر سده ۲۰ اوایل سده ۲۱
3800, محمد ساعد مراغه‌ای, ایالت نیویورک شهر نیویورک لانگ آیلند, کانون زبان ایران کانون پرورش فکری, در سال ۱۹۸۷ در سال ۲۰۰۰
3801, محمد ساعد, ایالت نیویورک بوفالو ، نیویورک روچستر ، نیویورک یانکرز سیراکیوز ، نیویورک, کانون زبان ایران, در سال ۱۹۸۵ در اوایل دهه ۱۹۹۰
3802, محمد ساعد ویاچسلاو مولوتف, ایالت نیویورک, انجمن فرهنگی ایران و آمریکا, دهه ۱۹۵۰
3803, علی سهیلی, آناپولیس بالتیمور, کانون زبان ایران کانون پرورش فکری کودکان و نوجوانان, از ۸ هفته
3804, قوام‌السلطنه علی سهیلی, کمپ دیوید, کانون زبان, از سال ۲۰۰۵
3805, میرزا نصرالله خان مشیرالدوله میرحسین موسوی دکتر محمد مصدق, شهر واشینگتن دی سی ایالت مریلند, متیل, یک سده
3806, دنیس گابور, ایالت مریلند کشور آمریکا, رودخانه جاجرود, در سال ۷۵۰ میلادی
3807, شاهنامه ذبیح‌الله صفا, ایالت مریلند خانوار, سازمان جوانان مترقی شعله جاوید سازمان رهایی افغانستان, در سال ۱۲۵۸ میلادی
3808, اخوان ثالث صدرا ذوالریاستین, شمال شرقی آمریکا نیوانگلند اقیانوس اطلس نیوهمپشایر شمال غربی استان کبک, جمعیت اسلامی, در سال ۱۳۲ هجری قمری
3809, ریچارد نیکسون, آگوستا, سازمان رهایی افغانستان سازمان جاسوسی پاکستان, پایان عصر اول
3810, عمر امام حسین, ایستپورت ، مین لوبک ، مین, تیم ملی فوتبال ایران باشگاه فوتبال پرسپولیس باشگاه فوتبال استقلال تهران, مهدی چند روز
3811, هاروتیون سایاتیان, ورمانت ایالت نیویورک, استقلال تهران سپاهان اصفهان تیم پرسپولیس, در سال ۲۳۲ هجری در سال ۳۳۴ هجری
3812, سایات نوا, نیوفاوندلند و لابرادور رشته‌کوه آپالیشین, باشگاه فوتبال سایپا باشگاه فوتبال استقلال اهواز باشگاه فوتبال پرسپولیس, طی یک دهه
3813, فیدل کاسترو باتیستا, رودخانه می‌سی‌سی‌پی, باشگاه فوتبال استیل‌آذین, تا چند دهه بعد
3814, کوفی عنان, پارک ملی آکادیا, گروه متیل, پایانی سده سوم هجری
3815, شاه‌عباس اول آقا محمدخان آقا محمدخان, پارک ملی آکادیا پارک ملی نیوانگلند, حزب اسلامی حکمتیار جمعیت اسلامی افغانستان, سال مهدی
3816, کمال‌الدین بهزاد, رشته‌کوه راکی, حزب اسلامی حکمتیار, در سال ۲۸۴
3817, اینگرید برگمان, ویرجینیا, سازمان جاسوسی پاکستان, درگذشته ۳۱۱ هجری قمری در سده بعد
3818, گری کوپر, کستین ، مین, مارتین مریتا شرکت خوشه‌ای, در ۳۳۴ هجری قمری تا ۵۹۰ هجری
3819, کری گرانت, شهرستان یورک ، مین, مارتین مریتا, در دوره دوم در سال ۴۴۸ در سال ۵۹۰
3820, ویکتور فلمینگ, مونترآل, مارتین مریتا مارتین مریتا, اوت ۲۰۱۰ در اوایل سال ۱۹۶۴
3821, روبرتو روسلینی, ایالت مین ایالت میسوری, لاکهید مارتین, ۵ ژانویه
3822, اینگرید برگمان روبرتو روسلینی, واترویل ، مین بیدفورد ، مین, دفتر مرکزی لاکهید مارتین, ۱۷ ژانویه
3823, هکتور برلیوز, هالیفاکس نوا اسکوشیا, لاکهید مارتین لاکهید مارتین, ۱۸ ژانویه
3824, رابرت فالکون اسکات, بوستون نیوانگلند, دانشگاه تهران عضو شورای راهبردی روابط خارجی اسلامی ایران, ۲۰ ژانویه
3825, روئال آمونسن, ایالت مین, وزارت امور خارجه جمهوری اسلامی ایران, ۲۴ ژانویه
3826, اوسبیو دی فرانچسکو کرایف دیگو مارادونا لوتار ماتئوس کنی دالگلیش دیدیه دشان زلاتان ابراهیموویچ سرخیو آگرو سسک فابرگاس مارکو رویس جانلوئیجی بوفون ماریو بالوتلی, فرودگاه بین‌المللی پورتلند, دانشگاه تهران دانشگاه هیوستون, ۲۷ ژانویه
3827, اوسین بولت, نیویورک اورلاندو, کانون پرورش فکری کودکان و نوجوانان خبرگزاری جمهوری اسلامی, ۲۸ ژانویه
3828, فردریک لیونبرگ, شهرستان هنکاک ، مین بار هاربر ، مین شهرستان ناکس ، مین پرسک, جمهوری اسلامی ایران سازمان ملل وزیر خارجه سازمان ملل متحد, ۳۰ ژانویه
3829, هوگو چاوز, ایالت‌های آمریکا ایالت آمریکا, وزیر امور خارجه وزیر بهداشت وزیر فرهنگ وزیر دادگستری, ۳۱ ژانویه
3830, سخنگوی دولت, ورمانت, جروزالم پست, ۴ فوریه
3831, پاپ بندیکت شانزدهم, بلگراد, ایران‌گام, ۱۳ فوریه ۵۰ روز
3832, پرویز مشرف, بلوک شرق بلوک شرق, جناح اصول‌گرایان جمهوری اسلامی ایران ایران‌گام, ۱۴ فوریه
3833, بیل کلینتون بن‌لادن, مونته‌نگرو, فیسبوک, ۱۶ فوریه
3834, نظام‌الملک ملک‌شاه سلجوقی, دانوب حومه شهر شرق اروپا, شبکه من و تو, ۲۲ فوریه
3835, حکیم عمر خیام نیشابوری صاحبعلی حسن صباح احمدپناهی, دانشگاه مک گیل مونتریال دانشگاه تورنتو اسکاربرو دانشگاه تورنتو دانشگاه تورنتو, شبکه من و تو رادیوفردا, ۲۳ فوریه چهار ماه
3836, ابوالحسن بیهقی, خانه اپرا, شبکه من و تو رادیو فردا, ۱۲ مارس
3837, محمدعلی فروغی قاسم غنی حکیم خیام نیشابوری, اورگان, موسسه انتشارات امیرکبیر, ۶ فوریه
3838, غلام‌حسین مصاحب حکیم عمر خیام, پارلمان اسکاتلند, دانشگاه آنکارا, ۱۹ مارس
3839, ملک‌شاه نظام الملک, باغ جلالیه, دانشگاه کالیفرنیا در ارواین, ۲۷ آوریل آگوست
3840, ابوالفضل بیهقی امام عصر, فرانسه دانشکده هنرهای زیبا دانشسرای عالی ملی هنرهای زیبای پاریس, دانشگاه وستمینستر, ۳۰ مه
3841, سلطان العلماء, دانشگاه ایران, شرکت پخش, ۱۸ نوامبر
3842, حسن صباح نظام‌الملک, ایتالیا لاتزیو, پست پانک, ۳ فوریه
3843, محمدعلی فروغی حسن صباح, شهر تروا, رود اورال, ۲ مارس
3844, حکیم عمر خیام, جزیره سیسیل سیسیل اسپانیا, خودروی سواری ایران ناسیونال, ۲۷ آوریل
3845, غلامحسین مصاحب, توره, کرایسلر, ۲ مه
3846, صادق هدایت احمد آرام, شهرهای خواهر رم, بنز, ۲۳ مه
3847, جیرولامو ساکری, مالی, پژو, ۳۱ مه
3848, خواجه نظام‌الملک ملک‌شاه سلجوقی, شهر لندن اتحادیه اروپا, ایران ناسیونال, ۸ ژوئن
3849, نجم‌الدین رازی, شهر لندن شهر لندن, رود دز رود دز, ۱۵ ژوئن
3850, سعید نفیسی قاسم غنی, هارتفورد ، کنتیکت بریجپورت, رودخانه دز رود دز, ۲۴ سپتامبر
3851, ادوارد فیتزجرالد, نیویورک ماساچوست رود آیلند, مکعب آب, ۱۵ اکتبر
3852, احمد شاملو احمد شاملو, لانگ ایلند ایالت نیویورک ماساچوست رودایلند, انجمن سینمای جوانان ایران جشنواره بین‌المللی فیلم کوتاه تهران, ۲۴ اکتبر
3853, صادق هدایت صادق هدایت حافظ, هارتفورد, وزارت فرهنگ و ارشاد اسلامی آزمون سراسری, ۲۵ اکتبر
3854, سلیمان ندوی, شمال شرقی آمریکا نیوانگلند, جشنواره بین‌المللی فیلم کوتاه تهران, ۲۶ مارس
3855, ولادیمیر پوتین مارتین لوتر کینگ جونیور آبراهام لینکلن, پراویدنس, دانشگاه سالامانکا, ۳۰ آوریل
3856, ابوریحان بیرونی زکریا رازی ابوعلی‌سینا, ماساچوست نیوهمپشایر ایالت نیویورک استان‌ها و قلمروهای کانادا استان کبک, العراقیه, سالهای سال
3857, خیام نیشابوری, وایومینگ, دانشگاه بغداد, در سال ۶۸۱ میلادی سال ۶۲ هجری قمری
3858, ادوارد فیتزجرالد عمر خیام عمر خیام ادوارد فیتزجرالد, مونپلیه ، ورمانت, حزب بعث ارتش عراق, در سال ۶۸۰ میلادی ۶۱ هجری قمری
3859, امین معلوف, برلینگتون ، ورمانت, دولت موقت عراق, در پنجمین روز سال پنجم ۶۲۷ میلادی در سال ششم
3860, جک لندن, پادشاهی بریتانیای کبیر, نیروهای بسیج مردمی عراق نیروهای مسلح عراق, سال ۶ قمری ۲ سال بعد
3861, سید جمال‌الدین میرزا آقاخان کرمانی شیخ احمد روحی شیخ هادی نجم‌آبادی, نیو همپشر, جایزه گرمی جایزه اسکار جایزه امی, ۵۶ سالگی
3862, ناصرالدین‌شاه میرزا رضای کرمانی, خلیج چساپیک, جایزه اسکار جایزه گرمی, در سال ۱۳۳۰ قمری
3863, میرزا آقاخان کرمانی شیخ احمد روحی, ریچموند ویرجینیابیچ, جایزه گرمی جایزه گرمی, در سال ۳۰ هجری ۳۰ سال
3864, ملکم خان, بوستون پادشاهی انگلستان, شخصیت حقوقی شخص حقوقی, مدت سه روز
3865, میرزا حسین‌خان سپهسالار, ویرجینیای غربی ایالت‌های جنوبی آمریکا, شخص حقوقی شخص حقوقی, در سده اول هجری
3866, میرزا حسین‌خان مشیرالدوله ملکم خان, ترنتون نیوآرک ، نیوجرسی جرزی سیتی, شرکت تضامنی شخصیت حقوقی, در سال ۸۶ هجری از ۳۰۰ سال
3867, هما ناطق, حومه شهر نیویورک, شرکت تضامنی شرکت تضامنی, روزگار ۸ سال
3868, میرزا آقاخان کرمانی میرزا ملکم خان طالبوف میرزا آقا تبریزی, ایالت‌های جنوبی آمریکا, اشخاص حقوقی, در سال ۱۹۳۳ در اوایل سال ۱۹۳۴
3869, نیکلای گوگول مولیر, تالاهاسی جکسون‌ویل اورلندو تمپا ، فلوریدا, شخص حقوقی شخص حقوقی اشخاص حقوقی, در ۲۰ نوامبر ۱۹۴۵
3870, سروش اصفهانی, ایالت آمریکا کوبا, سازمان ملل متحد اتحادیه ملل, در اوایل سال ۱۹۲۳ میلادی
3871, فتحعلی آخوندزاده, سنت آگوستین ، فلوریدا, دولت کانادا مجمع عمومی, مهدی اول اسفند ۱۳۸۳
3872, سدیدالسلطنه کبابی, ایالت فلوریدا, اتحادیه صنفی اتحادیه‌های صنفی, در شب ۹ سال
3873, شیخ مرتضی انصاری میرزا محمدحسن شیرازی, اقیانوس اطلس خلیج مکزیک, جنبش دانشجویی, شب شب
3874, سید محمد بهبهانی سید عبدالله بهبهانی, ایالت آمریکا خلیج مکزیک اقیانوس اطلس, سازمان مجاهدین خلق ایران نظام جمهوری اسلامی, چند ساعت بعد
3875, آخوند خراسانی محمدرضا شاه, هریسبورگ پیتسبورگ فیلادلفیا, سازمان دیدبان حقوق بشر, مدت ۲ هفته
3876, سید محمد طباطبائی عین‌الدوله, تالار استقلال, فرقه دموکرات آذربایجان حزب توده ایران, ۸ ژانویه
3877, سیدعلی سید عبدالله بهبهانی شیخ مرتضی, کلمبوس کلیولند سینسیناتی تولیدو دیتون, کمپین یک میلیون امضا, 16 آوریل
3878, سیدحسن امین, ایالت اوهایو, دانشگاه تهران چهره ماندگار, ۱۴ نوامبر
3879, ناظم‌الاسلام کرمانی شیخ فضل‌الله نوری, بودو, فرهنگستان علوم ایران انتشارات دانشگاه تهران انجمن مهندسان برق و الکترونیک, ۲۹ مارس
3880, شیخ فضل‌الله عین الدوله شیخ فضل‌الله, مدیسون ، ویسکانسین میلواکی, دانشگاه تهران وزارت معارف دانشگاه تهران, ۷ آوریل
3881, امام‌جمعه عین الدوله, ایالت ویسکانسین, شرکت نفت برمه, ۸ سپتامبر
3882, سیدمحمد طباطبایی, موزه هنر میلواکی مدیسون, دانشنامه کلمبیا دانشگاه کلمبیا, ۲۶ سپتامبر
3883, یحیی دولت‌آبادی سید عبدالله بهبهانی سید عبدالله بهبهانی میرزا علی‌اصغر اتابک, داکوتای شمالی ایالت‌های غرب میانه آمریکا استان‌ها و قلمروهای کانادا ساسکاچوان کانادا ایالت مینه‌سوتا ایالت مونتانا ایالت داکوتای جنوبی, مراکز تحقیقاتی امداد و نجات, ۳ اکتبر
3884, احمد کسروی حیدرعمواوغلی حسن تقی‌زاده, بیسمارک ، داکوتای شمالی فارگو ، داکوتای شمالی, دانشگاه هاروارد دانشگاه کلمبیا دانشگاه کرنل, ۲۰ نوامبر
3885, شهریار, داکوتای شمالی, انقلاب مشروطیت انقلاب مشروطه, ۱۲ مه
3886, شاه زمان, داکوتای شمالی ایالت‌های آمریکا, لابی‌گری, ۲۳ سپتامبر
3887, عادل‌شاه, داکوتای جنوبی ایالت‌های غرب میانه آمریکا, انجمن تنیس زنان, ۱۱ اکتبر
3888, محمدحسن خان قاجار, سو فالز, موسسه مهندسان برق و الکترونیک, از اواخر سده ۱۸ میلادی
3889, شاه سلیمان دوم, اوماها, انجمن ماشین‌های حسابگر, ماه پنجم
3890, عادل شاه, محله سرخاب, لوسنت, طی قرن بیستم زمانه
3891, رضاقلی خان هدایت آقا محمدخان, ششگلان, آزمایشگاه‌های بل مرکز تحقیقاتی دانشگاه هاروارد, در سال ۱۸۸۶
3892, نادرشاه عادل شاه, دبیرستان فردوسی, مجله نیویورکر, از اواخر قرن نوزدهم تا نیمه قرن بیستم
3893, آغا محمدخان قاجار آغا محمدخان, مدرسه مموریال, تنباکوی ژاپن, در دهه ۴۰ میلادی قرن بیستم
3894, شاه سلیمان دوم علیمردان خان ابوالفتح خان بختیاری کریم‌خان زند شاه اسماعیل سوم, دبیرستان فردوسی دبیرستان فردوسی, شورای انقلاب اسلامی ایران ناسیونال, دهه اخیر
3895, شاه اسماعیل سوم, ایندیاناپولیس, سازمان ملل خودروی سواری, مورخ سال ۱۹۷۷
3896, آزاد خان افغان کریم‌خان زند, فورت وین, سازمان مدیریت صنعتی, از سال ۱۹۹۴ از سال ۱۹۹۹ از سال ۲۰۰۱
3897, پرویز رجبی کریم‌خان زند, ایالت ایندیانا, جنرال موتورز پژو, ۲۵ سالگی
3898, آقا محمدخان حسینقلی جهانسوز آقا محمدخان, دی‌موین, سهامی خاص گروه صنعتی ایران‌خودرو, از سال ۱۹۸۱
3899, آقا محمدخان لطفعلی‌خان زند, دونپورت, خودرو سواری, از اواسط قرن سیزدهم میلادی
3900, فتحعلی‌شاه قاجار آقا محمدخان, ایالت آیوا, خودروسازی سایپا, در سال ۱۸۷۳ هفت سال
3901, لطفعلی‌خان زند آقا محمدخان قاجار, ایالت اوهایو نبراسکا, اتاق بازرگانی ایران, تاریخ بعد
3902, امام اول شیعیان, شهر خواهر لنسینگ دیترویت, دولت عثمانی دولت عثمانی, اواخر قرن نوزدهم میلادی
3903, سر جان ملکم آقامحمدخان قاجار, دریاچه‌های بزرگ غرب میانه, دانشگاه پیتسبورگ, در قرن دوازدهم میلادی
3904, محمد معین آقامحمدخان, منطقه کلان‌شهری شهرهای دوقلو, دانشگاه شیراز دانشگاه شیراز وزارت دربار دانشگاه شیراز, در تاریخ ۸ ژانویه ۲۰۱۰ میلادی
3905, ناپلئون بناپارت آقا محمدخان قاجار, اسکاتلند آلمان, دانشگاه آزاد اسلامی واحد همدان جمهوری اسلامی, از سال ۱۹۶۹
3906, ذبیح‌الله منصوری آقا محمدخان قاجار, آسیا شاخ آفریقا, گروه هشت جی هشت جی ۸, در تاریخ ۲۶ ژوئن ۲۰۱۵
3907, ذبیح‌الله منصوری, سینت‌پال مینیاپولیس, گروه ۸ گروه ۸, در دسامبر ۲۰۱۳ میلادی
3908, سرجان ملکم آقامحمدخان قاجار, دریاچه سوپریور میشیگان مرز آبی ایالت ویسکانسین, گروه ۸ گروه ۷, در ۱۲ سپتامبر سال ۲۰۰۳ میلادی
3909, فریدریش وولر, آیووا داکوتای شمالی داکوتای جنوبی اونتاریو مانیتوبا, جی هشت, در ۲۷ مارس ۲۰۱۱
3910, نیلس هنریک آبل, رود میسیسیپی, گروه پانزده, دوره
3911, استاد بزرگ, مجمع‌الجزایر هاوایی اقیانوس آرام کشور آمریکا, گروه ۱۵ غیرمتعهدها, در دهه ۶۰ و ۷۰ میلادی
3912, کوشی, هونولولو, سازمان تجارت جهانی گروه هشت کشور صنعتی, در دهه ۸۰ میلادی ۲۲ سال
3913, ریچارد فاینمن سین‌ایترو تومونوجا جولیان شوینگر, مجمع‌الجزایر هاوایی, جنبش غیرمتعهدها سازمان بین‌المللی, سال ۱۹۸۵ دی
3914, گرهارد شرودر صدراعظم آلمان, جزیره هاوایی, سازمان ملل متحد جنبش عدم تعهد, در طی تاریخ
3915, حمیدرضا آصفی, ایالت هاوایی, جنبش عدم تعهد جنبش عدم تعهد, در ۲۴ می ۲۰۱۱
3916, حاجی‌فیروز, جزایر هاوایی, جنبش عدم تعهد سازمانهای بین‌المللی شخصیت حقوقی سازمان بین‌المللی, سال ۱۹۸۰
3917, انریکو فرمی, کشور محصور در خشکی شاخ آفریقا, نیسان رنو برلیانس آتو, طی نیمه دوم قرن بیستم
3918, سیدضیاءالدین طباطبائی رضاخان میرپنج رضاشاه پهلوی, قاره آفریقا قاره آفریقا, اوراق بهادار تهران, در سال ۲۰۰۷ یک قرن
3919, محمدحسن میرزا, اریتره سودان سودان جنوبی سومالی جیبوتی کنیا, سهامی خاص, در دهه ۷۰ میلادی
3920, سالوادور آلنده, ارمنستان دین رسمی, مجمع عمومی جنرال موتورز سهامی خاص, از اواخر قرن ۱۸ میلادی
3921, مانوئل زلایا, شمال آفریقا خاورمیانه آفریقا, سهامی خاص سهامی عام, در طی یک قرن
3922, پورفیریو لوبو, ایتالیا آفریقای شرقی, جیپ, تا سال ۱۹۶۰ میلادی
3923, محمد البرادعی محمد مرسی, حبشه, جنرال موتورز جنرال موتورز شرکت خودروسازی اپل شورلت, در اوایل قرن بیستم میلادی
